analysis_id,analysis_name,analysis_tier,question_or_hypothesis,dataset,variables,method_test_model,key_numeric_outputs,effect_size,multiple_testing_note,robustness_note,cv_note,interpretation,source_files
A01,Descriptive cohort summary,authoritative,Small sample; descriptive manuscript baseline needed,osteogenesis_imperfecta_camber_input_minimal_v1.csv,See OUTPUT_SCHEMA_AND_VARIABLE_LINEAGE.md,"Estimate cohort size, age, prevalence, Wilson CI, and caries_count summary",04_final_outputs/tables_csv_and_logs/publication_table1_overall_FINAL.csv,See publication_table3_inferential_FINAL.csv,Holm adjustment applied in primary inferential table,See robustness_panel_FINAL.csv,See cv_panel_FINAL.csv (secondary internal verification),Hypothesis-generating framing where appropriate (small-sample aware),04_final_outputs/tables_csv_and_logs/publication_table1_overall_FINAL.csv
A02,Gene-group descriptive stratification,authoritative,Show hypothesis-generating differences by genotype grouping,osteogenesis_imperfecta_camber_input_minimal_v1.csv,See OUTPUT_SCHEMA_AND_VARIABLE_LINEAGE.md,Summarize endpoints within runtime gene groups,04_final_outputs/tables_csv_and_logs/publication_table2_by_gene_group_FINAL.csv; 04_final_outputs/tables_csv_and_logs/supplementary_gene_group_map_FINAL.csv,See publication_table3_inferential_FINAL.csv,Holm adjustment applied in primary inferential table,See robustness_panel_FINAL.csv,See cv_panel_FINAL.csv (secondary internal verification),Hypothesis-generating framing where appropriate (small-sample aware),04_final_outputs/tables_csv_and_logs/publication_table2_by_gene_group_FINAL.csv; 04_final_outputs/tables_csv_and_logs/supplementary_gene_group_map_FINAL.csv
A03,Primary inferential testing,authoritative,Expected cell counts are low and distributions are non-normal in n=34,osteogenesis_imperfecta_camber_input_minimal_v1.csv,See OUTPUT_SCHEMA_AND_VARIABLE_LINEAGE.md,Binary outcomes via chi-square statistic plus permutation p and evaluate caries_count via Kruskal-Wallis with effect-size reporting,04_final_outputs/tables_csv_and_logs/publication_table3_inferential_FINAL.csv,See publication_table3_inferential_FINAL.csv,Holm adjustment applied in primary inferential table,See robustness_panel_FINAL.csv,See cv_panel_FINAL.csv (secondary internal verification),Hypothesis-generating framing where appropriate (small-sample aware),04_final_outputs/tables_csv_and_logs/publication_table3_inferential_FINAL.csv
A04,Robustness and sensitivity,authoritative,Borderline findings may depend on single influential observations in a very small cohort,osteogenesis_imperfecta_camber_input_minimal_v1.csv,See OUTPUT_SCHEMA_AND_VARIABLE_LINEAGE.md,Quantify leave-one-out instability and infraocclusion exclusion impact,04_final_outputs/tables_csv_and_logs/robustness_panel_FINAL.csv; 04_final_outputs/tables_csv_and_logs/supplementary_robustness_FINAL.csv,See publication_table3_inferential_FINAL.csv,Holm adjustment applied in primary inferential table,See robustness_panel_FINAL.csv,See cv_panel_FINAL.csv (secondary internal verification),Hypothesis-generating framing where appropriate (small-sample aware),04_final_outputs/tables_csv_and_logs/robustness_panel_FINAL.csv; 04_final_outputs/tables_csv_and_logs/supplementary_robustness_FINAL.csv
A05,Cross-validation modeling,authoritative,Assess whether adding gene-group improves discrimination without overstating certainty,osteogenesis_imperfecta_camber_input_minimal_v1.csv,See OUTPUT_SCHEMA_AND_VARIABLE_LINEAGE.md,Compare age-only vs age-plus-gene logistic models using LOO and repeated stratified K-fold with paired bootstrap CIs and explicit estimator labels,04_final_outputs/tables_csv_and_logs/cv_panel_FINAL.csv; 04_final_outputs/tables_csv_and_logs/verified_master_table_FINAL.csv; 04_final_outputs/tables_csv_and_logs/supplementary_cv_FINAL.csv,See publication_table3_inferential_FINAL.csv,Holm adjustment applied in primary inferential table,See robustness_panel_FINAL.csv,See cv_panel_FINAL.csv (secondary internal verification),Hypothesis-generating framing where appropriate (small-sample aware),04_final_outputs/tables_csv_and_logs/cv_panel_FINAL.csv; 04_final_outputs/tables_csv_and_logs/verified_master_table_FINAL.csv; 04_final_outputs/tables_csv_and_logs/supplementary_cv_FINAL.csv
A06,Supplementary scenario analyses,authoritative,Support reviewer transparency and explain how Primary relates to k=3 and k=4 views,osteogenesis_imperfecta_camber_input_minimal_v1.csv,See OUTPUT_SCHEMA_AND_VARIABLE_LINEAGE.md,"Retain non-primary scenario outputs, duplicate-scenario flags, and full sensitivity tables",04_final_outputs/tables_csv_and_logs/supplementary_sensitivity_FINAL.csv; 04_final_outputs/tables_csv_and_logs/supplementary_robustness_FINAL.csv; 04_final_outputs/tables_csv_and_logs/supplementary_cv_FINAL.csv; 04_final_outputs/tables_csv_and_logs/supplementary_gene_group_map_FINAL.csv,See publication_table3_inferential_FINAL.csv,Holm adjustment applied in primary inferential table,See robustness_panel_FINAL.csv,See cv_panel_FINAL.csv (secondary internal verification),Hypothesis-generating framing where appropriate (small-sample aware),04_final_outputs/tables_csv_and_logs/supplementary_sensitivity_FINAL.csv; 04_final_outputs/tables_csv_and_logs/supplementary_robustness_FINAL.csv; 04_final_outputs/tables_csv_and_logs/supplementary_cv_FINAL.csv; 04_final_outputs/tables_csv_and_logs/supplementary_gene_group_map_FINAL.csv
A07,Output schema and variable lineage,supporting,Prevent AI or coauthor misreading of derived variables and sparse columns,osteogenesis_imperfecta_camber_input_minimal_v1.csv,See OUTPUT_SCHEMA_AND_VARIABLE_LINEAGE.md,Define column semantics and raw-to-runtime-to-manuscript mappings,04_final_outputs/OUTPUT_SCHEMA_AND_VARIABLE_LINEAGE.md,See publication_table3_inferential_FINAL.csv,Holm adjustment applied in primary inferential table,See robustness_panel_FINAL.csv,See cv_panel_FINAL.csv (secondary internal verification),Hypothesis-generating framing where appropriate (small-sample aware),04_final_outputs/OUTPUT_SCHEMA_AND_VARIABLE_LINEAGE.md
A08,Transparency interpretation,supporting,Reduce false alarms when reading issue logs CV notes and supplementary outputs,osteogenesis_imperfecta_camber_input_minimal_v1.csv,See OUTPUT_SCHEMA_AND_VARIABLE_LINEAGE.md,Explain warnings versus issues and clarify duplicate scenarios and figure numbering carry-over,04_final_outputs/TRANSPARENCY_NOTES.md,See publication_table3_inferential_FINAL.csv,Holm adjustment applied in primary inferential table,See robustness_panel_FINAL.csv,See cv_panel_FINAL.csv (secondary internal verification),Hypothesis-generating framing where appropriate (small-sample aware),04_final_outputs/TRANSPARENCY_NOTES.md
A09,Reproducibility and environment,supporting,Provide practical rerun context without pretending to have a full lockfile environment,osteogenesis_imperfecta_camber_input_minimal_v1.csv,See OUTPUT_SCHEMA_AND_VARIABLE_LINEAGE.md,Describe authoritative entry points manifest meaning and reproducibility boundaries,04_final_outputs/REPRODUCIBILITY_ENVIRONMENT.md; 04_final_outputs/tables_csv_and_logs/run_manifest.json,See publication_table3_inferential_FINAL.csv,Holm adjustment applied in primary inferential table,See robustness_panel_FINAL.csv,See cv_panel_FINAL.csv (secondary internal verification),Hypothesis-generating framing where appropriate (small-sample aware),04_final_outputs/REPRODUCIBILITY_ENVIRONMENT.md; 04_final_outputs/tables_csv_and_logs/run_manifest.json
A10,Manuscript assembly support,supporting,Speed manuscript drafting and keep section sourcing explicit,osteogenesis_imperfecta_camber_input_minimal_v1.csv,See OUTPUT_SCHEMA_AND_VARIABLE_LINEAGE.md,Map manuscript sections to the exact supporting files and ready-to-use legends,01_protocol_and_docs/MANUSCRIPT_ASSEMBLY_GUIDE.md; 01_protocol_and_docs/TABLE_FOOTNOTES_AND_FIGURE_LEGENDS.md; 01_protocol_and_docs/ABBREVIATIONS_GLOSSARY.md,See publication_table3_inferential_FINAL.csv,Holm adjustment applied in primary inferential table,See robustness_panel_FINAL.csv,See cv_panel_FINAL.csv (secondary internal verification),Hypothesis-generating framing where appropriate (small-sample aware),01_protocol_and_docs/MANUSCRIPT_ASSEMBLY_GUIDE.md; 01_protocol_and_docs/TABLE_FOOTNOTES_AND_FIGURE_LEGENDS.md; 01_protocol_and_docs/ABBREVIATIONS_GLOSSARY.md
