analysis_block,selected_source,source_tier,selection_reason,rejected_alternatives,merge_mode,destination_section,destination_cells,expected_outputs,candidate_decision,last_write_time
authoritative_provenance,Manuscript_Data/README_Manuscript_Data.md,authoritative,Authoritative package overview and file role definitions,analysis_documentation_package/* summaries,supporting_context_only,"Title, scope, and provenance",1-2,Notebook scope/provenance markdown,,
authoritative_handoff,Manuscript_Data/06_ai_handoff_context/FINAL_HANDOFF_QUICKSTART.md,authoritative,Defines FINAL.1.2 authoritative entry points and package reading order,historical handoff notes outside Manuscript_Data,supporting_context_only,Environment and reproducibility notes,2,Notebook environment/provenance markdown,,
selected_package_run,analysis_documentation_package/run_20260317_1411,supporting,Latest timestamped run selected deterministically by run folder name,analysis_documentation_package/run_20260317_1347,supporting_context_only,Source selection summary,4-5,Selected package run display,,2026-03-17T14:11:48
primary_logic,Manuscript_Data/03_analysis_scripts/oi_oro_dental_master_FINAL_1_2.py,authoritative,Primary deterministic analysis pipeline,oi_oro_dental_master_FINAL_1_1.py; oi_oro_dental_master_FINAL_1.py; oi_oro_dental_master_FINAL.py; oi_oro_dental_master_v3_2_3.py; oi_oro_dental_master_v3_2_2.py; oi_oro_dental_master_v3_2_1.py; oi_oro_dental_master_v3_2.py; oi_oro_dental_master_v3_1.py; oi_oro_dental_master_v3.py,import_or_reuse_script_logic,Data / output loading and path validation,7,Validated authoritative table loading,,
overall_descriptive_results,Manuscript_Data/04_final_outputs/tables_csv_and_logs/publication_table1_overall_FINAL.csv,authoritative,Core overall descriptive metrics for FINAL.1.2,publication_table1_overall_v1.csv,load_authoritative_output,Authoritative overall descriptive results,9,Displayed overall descriptive table,,
gene_group_results,Manuscript_Data/04_final_outputs/tables_csv_and_logs/publication_table2_by_gene_group_FINAL.csv,authoritative,Authoritative gene-group descriptive table,publication_table2_by_gene_group_v1.csv,load_authoritative_output,Authoritative gene-group results,11,Displayed Primary scenario gene-group table,,
inferential_results,Manuscript_Data/04_final_outputs/tables_csv_and_logs/publication_table3_inferential_FINAL.csv,authoritative,Primary inferential evidence with exact/permutation and effect sizes,publication_table3_global_tests_v1.csv,load_authoritative_output,Authoritative inferential results,13,Displayed inferential results table,,
verified_master_summary,Manuscript_Data/04_final_outputs/tables_csv_and_logs/verified_master_table_FINAL.csv,authoritative,Integrated authoritative summary for parity checks and single-view cross-checks,verified_master_table_v3.csv; verified_master_table_v3_1.csv,load_authoritative_output,Validation summary and completion checklist,22-24,Parity check table and validation summary,,
robustness_results,Manuscript_Data/04_final_outputs/tables_csv_and_logs/robustness_panel_FINAL.csv,authoritative,Primary robustness evidence,missing_statistical_analyses/robustness_classification_table.csv,load_authoritative_output,Robustness and supporting analyses,15,Displayed robustness table merged with revised labels,,
robustness_support_classification,main_analysis_completion/05_robustness/robustness_classification_table_revised.csv,supporting,Latest robustness wording/classification refinement,missing_statistical_analyses/robustness_classification_table.csv,load_authoritative_output,Robustness and supporting analyses,15-16,Merged robustness interpretation table,,
alternative_grouping_support,main_analysis_completion/04_supporting/supporting_alternative_grouping_revised.csv,supporting,Latest grouping sensitivity refinement with duplicate scenario flags,missing_statistical_analyses/supporting_alternative_grouping.csv,load_authoritative_output,Robustness and supporting analyses,16,Displayed alternative grouping support table,,
cv_internal_verification,Manuscript_Data/04_final_outputs/tables_csv_and_logs/cv_panel_FINAL.csv,authoritative,Primary CV/internal verification evidence,missing_statistical_analyses/cv_reporting_support_table.csv,load_authoritative_output,CV / model verification with explicit cautionary framing,18,Displayed CV verification table,,
cv_support_interpretation,main_analysis_completion/06_model_verification/cv_reporting_support_table_revised.csv,supporting,Latest CV interpretation safety layer,missing_statistical_analyses/cv_reporting_support_table.csv,load_authoritative_output,CV / model verification with explicit cautionary framing,18,Merged CV caution table,,
figure_display,Manuscript_Data/05_figures/english/FigA_prevalence.png; Manuscript_Data/05_figures/english/FigB_gene_groups.png; Manuscript_Data/05_figures/english/FigC_inferential_summary.png; Manuscript_Data/05_figures/english/FigE_robustness.png; Manuscript_Data/05_figures/english/FigF_cv_delta_auc.png,authoritative,Final exported figure set A/B/C/E/F,No Fig D by package convention,load_authoritative_output,Figures / tables display or regeneration path,20,Embedded figure outputs,,
narrative_context,Manuscript_Data/01_protocol_and_docs/final_1.md; Manuscript_Data/01_protocol_and_docs/camber_sap_v2_publication_ready.md,authoritative,Investigator-facing interpretation and statistical analysis plan context,historical statistical_report_v1.md,supporting_context_only,Integrated narrative synthesis and limitations,21,Synthesis markdown,,
candidate_notebook_inventory,oi_oro_dental_master_FINAL.ipynb,reference-only,Lower-precedence historical notebook version,,reference_structure_only,Source selection summary,4-5,Candidate notebook inventory table,excluded,2026-02-28T10:35:27
candidate_notebook_inventory,oi_oro_dental_master_FINAL_1.ipynb,reference-only,Lower-precedence historical notebook version,,reference_structure_only,Source selection summary,4-5,Candidate notebook inventory table,excluded,2026-02-28T10:55:12
candidate_notebook_inventory,oi_oro_dental_master_FINAL_1_1.ipynb,reference-only,Lower-precedence historical notebook version,,reference_structure_only,Source selection summary,4-5,Candidate notebook inventory table,excluded,2026-02-28T11:09:17
candidate_notebook_inventory,oi_oro_dental_master_FINAL_1_2.ipynb,authoritative,Historical FINAL_1_2 notebook retained for structural reference only,,reference_structure_only,Source selection summary,4-5,Candidate notebook inventory table,used_for_reference_only,2026-02-28T11:20:15
candidate_notebook_inventory,oi_oro_dental_master_v3.ipynb,reference-only,Lower-precedence historical notebook version,,reference_structure_only,Source selection summary,4-5,Candidate notebook inventory table,excluded,2026-02-28T08:13:03
candidate_notebook_inventory,oi_oro_dental_master_v3_1.ipynb,reference-only,Lower-precedence historical notebook version,,reference_structure_only,Source selection summary,4-5,Candidate notebook inventory table,excluded,2026-02-28T08:33:48
candidate_notebook_inventory,oi_oro_dental_master_v3_2.ipynb,reference-only,Lower-precedence historical notebook version,,reference_structure_only,Source selection summary,4-5,Candidate notebook inventory table,excluded,2026-02-28T09:05:15
candidate_notebook_inventory,oi_oro_dental_master_v3_2_1.ipynb,reference-only,Lower-precedence historical notebook version,,reference_structure_only,Source selection summary,4-5,Candidate notebook inventory table,excluded,2026-02-28T09:28:18
candidate_notebook_inventory,oi_oro_dental_master_v3_2_2.ipynb,reference-only,Lower-precedence historical notebook version,,reference_structure_only,Source selection summary,4-5,Candidate notebook inventory table,excluded,2026-02-28T09:50:56
candidate_notebook_inventory,oi_oro_dental_master_v3_2_3.ipynb,reference-only,Lower-precedence historical notebook version,,reference_structure_only,Source selection summary,4-5,Candidate notebook inventory table,excluded,2026-02-28T10:15:49
candidate_notebook_inventory,Manuscript_Data/03_analysis_scripts/oi_oro_dental_master_FINAL_1_2.ipynb,authoritative,Latest Manuscript_Data notebook reference under deterministic precedence,,reference_structure_only,Source selection summary,4-5,Candidate notebook inventory table,used_for_reference_only,2026-02-28T11:20:15
candidate_notebook_inventory,Manuscript_Data/03_analysis_scripts/oi_oro_dental_consolidated_v1.ipynb,reference-only,Historical failed artifact; scaffold notebook,,reference_structure_only,Source selection summary,4-5,Candidate notebook inventory table,excluded,2026-03-17T14:55:10
