file_path,current_role,proposed_role,action_type,risk_level,rationale
01_protocol_and_docs/ABBREVIATIONS_GLOSSARY.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
01_protocol_and_docs/MANUSCRIPT_ASSEMBLY_GUIDE.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
01_protocol_and_docs/TABLE_FOOTNOTES_AND_FIGURE_LEGENDS.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
01_protocol_and_docs/camber_sap_v2_publication_ready.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
01_protocol_and_docs/camber_study_brief_v1.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
01_protocol_and_docs/codebook_v3_fixed.md,legacy,archive_reference,archive_candidate,medium,Rule-based classification for notebook preparation without destructive changes.
01_protocol_and_docs/final_1.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
01_protocol_and_docs/final_1_2_publication_ready_gorsel_paketi_figur_plani_deterministik_failsafe_uretim_scripti.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
01_protocol_and_docs/kongre_abstract_paketi_final_1.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
01_protocol_and_docs/Osteogenesis-Imperfecta-Oro-Denta-Bulgular-Etik-Kurul-Basvuru-Rev3.md,legacy,archive_reference,archive_candidate,medium,Rule-based classification for notebook preparation without destructive changes.
01_protocol_and_docs/publication_tables_v1_csv_ciktilari_ozeti.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
01_protocol_and_docs/README_Camber_Upload.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
01_protocol_and_docs/statistical_report_v1.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
02_source_data/metadata/codebook_v3_fixed.md,legacy,archive_reference,archive_candidate,medium,Rule-based classification for notebook preparation without destructive changes.
02_source_data/metadata/gene_map_v1.csv,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
02_source_data/raw_data/osteogenesis_imperfecta_camber_input_minimal_v1.csv,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
02_source_data/raw_data/osteogenesis_imperfecta_original_data.csv,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
03_analysis_scripts/make_figures_final_1_2.py,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
03_analysis_scripts/make_figures_FINAL_1_2_TR.py,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
03_analysis_scripts/oi_oro_dental_master_FINAL_1_2.ipynb,authoritative,primary_notebook_source,keep_active,critical,Rule-based classification for notebook preparation without destructive changes.
03_analysis_scripts/oi_oro_dental_master_FINAL_1_2.py,authoritative,primary_notebook_source,keep_active,critical,Rule-based classification for notebook preparation without destructive changes.
04_final_outputs/OUTPUT_SCHEMA_AND_VARIABLE_LINEAGE.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
04_final_outputs/REPRODUCIBILITY_ENVIRONMENT.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
04_final_outputs/TRANSPARENCY_NOTES.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
04_final_outputs/tables_csv_and_logs/consistency_diff_FINAL_1_1_vs_FINAL_1_2.csv,authoritative_or_supplementary,notebook_source_or_context,keep_active,high,Rule-based classification for notebook preparation without destructive changes.
04_final_outputs/tables_csv_and_logs/cv_panel_FINAL.csv,authoritative_or_supplementary,notebook_source_or_context,keep_active,high,Rule-based classification for notebook preparation without destructive changes.
04_final_outputs/tables_csv_and_logs/issue_log_FINAL.csv,authoritative_or_supplementary,notebook_source_or_context,keep_active,high,Rule-based classification for notebook preparation without destructive changes.
04_final_outputs/tables_csv_and_logs/publication_table1_overall_FINAL.csv,authoritative,primary_notebook_source,keep_active,critical,Rule-based classification for notebook preparation without destructive changes.
04_final_outputs/tables_csv_and_logs/publication_table2_by_gene_group_FINAL.csv,authoritative,primary_notebook_source,keep_active,critical,Rule-based classification for notebook preparation without destructive changes.
04_final_outputs/tables_csv_and_logs/publication_table3_inferential_FINAL.csv,authoritative,primary_notebook_source,keep_active,critical,Rule-based classification for notebook preparation without destructive changes.
04_final_outputs/tables_csv_and_logs/robustness_panel_FINAL.csv,authoritative_or_supplementary,notebook_source_or_context,keep_active,high,Rule-based classification for notebook preparation without destructive changes.
04_final_outputs/tables_csv_and_logs/run_manifest.json,authoritative_or_supplementary,notebook_source_or_context,keep_active,high,Rule-based classification for notebook preparation without destructive changes.
04_final_outputs/tables_csv_and_logs/supplementary_cv_FINAL.csv,authoritative_or_supplementary,notebook_source_or_context,keep_active,high,Rule-based classification for notebook preparation without destructive changes.
04_final_outputs/tables_csv_and_logs/supplementary_gene_group_map_FINAL.csv,authoritative_or_supplementary,notebook_source_or_context,keep_active,high,Rule-based classification for notebook preparation without destructive changes.
04_final_outputs/tables_csv_and_logs/supplementary_robustness_FINAL.csv,authoritative_or_supplementary,notebook_source_or_context,keep_active,high,Rule-based classification for notebook preparation without destructive changes.
04_final_outputs/tables_csv_and_logs/supplementary_sensitivity_FINAL.csv,authoritative_or_supplementary,notebook_source_or_context,keep_active,high,Rule-based classification for notebook preparation without destructive changes.
04_final_outputs/tables_csv_and_logs/verified_master_table_FINAL.csv,authoritative,primary_notebook_source,keep_active,critical,Rule-based classification for notebook preparation without destructive changes.
05_figures/english/FigA_prevalence.png,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
05_figures/english/FigB_gene_groups.png,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
05_figures/english/FigC_inferential_summary.png,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
05_figures/english/FigE_robustness.png,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
05_figures/english/FigF_cv_delta_auc.png,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
05_figures/turkish/FigA_prevalans_TR.png,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
05_figures/turkish/FigB_gen_grup_TR.png,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
05_figures/turkish/FigC_inferans_ozet_TR.png,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
05_figures/turkish/FigE_robustluk_TR.png,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
05_figures/turkish/FigF_cv_delta_auc_TR.png,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
06_ai_handoff_context/DOCUMENTATION_AUDIT_TRAIL.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
06_ai_handoff_context/FINAL_HANDOFF_QUICKSTART.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
06_ai_handoff_context/AGENTS.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
06_ai_handoff_context/copilot-instructions.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
06_ai_handoff_context/copilot_vscode_oturumu_camber_oi_oro_dental_analiz_rebuild_prompt_iteratif_qc_cross_validation.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
06_ai_handoff_context/prompt.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
06_ai_handoff_context/python-analysis.instructions.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
06_ai_handoff_context/vscode_custum_instructions_documentation.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
07_provenance_and_history/issue_log_v3.csv,provenance,archive_reference,archive_candidate,medium,Rule-based classification for notebook preparation without destructive changes.
07_provenance_and_history/issue_log_v3_1.csv,provenance,archive_reference,archive_candidate,medium,Rule-based classification for notebook preparation without destructive changes.
07_provenance_and_history/verified_master_table_v3.csv,provenance,archive_reference,archive_candidate,medium,Rule-based classification for notebook preparation without destructive changes.
07_provenance_and_history/verified_master_table_v3_1.csv,provenance,archive_reference,archive_candidate,medium,Rule-based classification for notebook preparation without destructive changes.
ANALYSIS_RESULT_MAP.csv,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
FILE_REGISTRY.csv,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
README_Manuscript_Data.md,legacy_or_context,notebook_input_exclusion,exclude_from_notebook,low,Rule-based classification for notebook preparation without destructive changes.
