priority,file,tier,why
1,Manuscript_Data/03_analysis_scripts/oi_oro_dental_master_FINAL_1_2.py,authoritative,Primary deterministic analysis pipeline
2,Manuscript_Data/04_final_outputs/tables_csv_and_logs/verified_master_table_FINAL.csv,authoritative,Integrated authoritative summary
3,Manuscript_Data/04_final_outputs/tables_csv_and_logs/publication_table1_overall_FINAL.csv,authoritative,Core descriptive metrics
4,Manuscript_Data/04_final_outputs/tables_csv_and_logs/publication_table2_by_gene_group_FINAL.csv,authoritative,Group-level descriptive metrics
5,Manuscript_Data/04_final_outputs/tables_csv_and_logs/publication_table3_inferential_FINAL.csv,authoritative,Primary inferential evidence
6,Manuscript_Data/04_final_outputs/tables_csv_and_logs/robustness_panel_FINAL.csv,authoritative,Primary robustness evidence
7,Manuscript_Data/04_final_outputs/tables_csv_and_logs/cv_panel_FINAL.csv,authoritative,Secondary internal verification
8,main_analysis_completion/07_reporting/main_analysis_completion_report.md,supporting,Latest stage-wise support completion layer
9,main_analysis_completion/05_robustness/robustness_classification_table_revised.csv,supporting,Latest robustness wording/classification refinement
10,main_analysis_completion/06_model_verification/cv_reporting_support_table_revised.csv,supporting,Latest CV interpretation safety layer
11,missing_statistical_analyses/analysis_support_synthesis.md,supporting,Earlier post-statistician support synthesis
12,reanalysis_statistician_vs_project/10_round2_reports,reference-only,Frozen statistician comparison reference
