analysis_name,what_it_does,why_it_was_done,primary_output_files,figure_files
Descriptive cohort summary,"Estimate cohort size, age, prevalence, Wilson CI, and caries_count summary",Small sample; descriptive manuscript baseline needed,04_final_outputs/tables_csv_and_logs/publication_table1_overall_FINAL.csv,05_figures/english/FigA_prevalence.png; 05_figures/turkish/FigA_prevalans_TR.png
Gene-group descriptive stratification,Summarize endpoints within runtime gene groups,Show hypothesis-generating differences by genotype grouping,04_final_outputs/tables_csv_and_logs/publication_table2_by_gene_group_FINAL.csv; 04_final_outputs/tables_csv_and_logs/supplementary_gene_group_map_FINAL.csv,05_figures/english/FigB_gene_groups.png; 05_figures/turkish/FigB_gen_grup_TR.png
Primary inferential testing,Binary outcomes via chi-square statistic plus permutation p and evaluate caries_count via Kruskal-Wallis with effect-size reporting,Expected cell counts are low and distributions are non-normal in n=34,04_final_outputs/tables_csv_and_logs/publication_table3_inferential_FINAL.csv,05_figures/english/FigC_inferential_summary.png; 05_figures/turkish/FigC_inferans_ozet_TR.png
Robustness and sensitivity,Quantify leave-one-out instability and infraocclusion exclusion impact,Borderline findings may depend on single influential observations in a very small cohort,04_final_outputs/tables_csv_and_logs/robustness_panel_FINAL.csv; 04_final_outputs/tables_csv_and_logs/supplementary_robustness_FINAL.csv,05_figures/english/FigE_robustness.png; 05_figures/turkish/FigE_robustluk_TR.png
Cross-validation modeling,Compare age-only vs age-plus-gene logistic models using LOO and repeated stratified K-fold with paired bootstrap CIs and explicit estimator labels,Assess whether adding gene-group improves discrimination without overstating certainty,04_final_outputs/tables_csv_and_logs/cv_panel_FINAL.csv; 04_final_outputs/tables_csv_and_logs/verified_master_table_FINAL.csv; 04_final_outputs/tables_csv_and_logs/supplementary_cv_FINAL.csv,05_figures/english/FigF_cv_delta_auc.png; 05_figures/turkish/FigF_cv_delta_auc_TR.png
Supplementary scenario analyses,"Retain non-primary scenario outputs, duplicate-scenario flags, and full sensitivity tables",Support reviewer transparency and explain how Primary relates to k=3 and k=4 views,04_final_outputs/tables_csv_and_logs/supplementary_sensitivity_FINAL.csv; 04_final_outputs/tables_csv_and_logs/supplementary_robustness_FINAL.csv; 04_final_outputs/tables_csv_and_logs/supplementary_cv_FINAL.csv; 04_final_outputs/tables_csv_and_logs/supplementary_gene_group_map_FINAL.csv,N/A
Output schema and variable lineage,Define column semantics and raw-to-runtime-to-manuscript mappings,Prevent AI or coauthor misreading of derived variables and sparse columns,04_final_outputs/OUTPUT_SCHEMA_AND_VARIABLE_LINEAGE.md,N/A
Transparency interpretation,Explain warnings versus issues and clarify duplicate scenarios and figure numbering carry-over,Reduce false alarms when reading issue logs CV notes and supplementary outputs,04_final_outputs/TRANSPARENCY_NOTES.md,N/A
Reproducibility and environment,Describe authoritative entry points manifest meaning and reproducibility boundaries,Provide practical rerun context without pretending to have a full lockfile environment,04_final_outputs/REPRODUCIBILITY_ENVIRONMENT.md; 04_final_outputs/tables_csv_and_logs/run_manifest.json,N/A
Manuscript assembly support,Map manuscript sections to the exact supporting files and ready-to-use legends,Speed manuscript drafting and keep section sourcing explicit,01_protocol_and_docs/MANUSCRIPT_ASSEMBLY_GUIDE.md; 01_protocol_and_docs/TABLE_FOOTNOTES_AND_FIGURE_LEGENDS.md; 01_protocol_and_docs/ABBREVIATIONS_GLOSSARY.md,N/A
QC and provenance,"Track seed, package versions, final issue log, parity against FINAL.1.1, and documentation audit history",Guarantee reproducibility and prove no unintended math drift while documenting the six-cycle hardening pass,04_final_outputs/tables_csv_and_logs/issue_log_FINAL.csv; 04_final_outputs/tables_csv_and_logs/consistency_diff_FINAL_1_1_vs_FINAL_1_2.csv; 06_ai_handoff_context/DOCUMENTATION_AUDIT_TRAIL.md; 07_provenance_and_history/verified_master_table_v3.csv; 07_provenance_and_history/verified_master_table_v3_1.csv,N/A
AI handoff guidance,Define what is authoritative what is archival and what order an AI should read the package,Prevent future assistants from accidentally following stale v3 references,06_ai_handoff_context/FINAL_HANDOFF_QUICKSTART.md; 06_ai_handoff_context/AGENTS.md; 06_ai_handoff_context/copilot-instructions.md; 06_ai_handoff_context/python-analysis.instructions.md,N/A
Historical prompt provenance,Preserve the original rebuild prompt and related context while clearly downgrading it to archival status,Retain process transparency without letting old v3 instructions override FINAL.1.2,06_ai_handoff_context/copilot_vscode_oturumu_camber_oi_oro_dental_analiz_rebuild_prompt_iteratif_qc_cross_validation.md; 06_ai_handoff_context/prompt.md; 06_ai_handoff_context/vscode_custum_instructions_documentation.md,N/A
